starttime	seconds	ctime	dtime	ttime	wait
Sun Aug 29 18:23:40 2021	1630229020	0	3102	3102	2755
Sun Aug 29 18:23:40 2021	1630229020	0	3113	3113	2582
Sun Aug 29 18:23:16 2021	1630228996	0	3119	3119	3053
Sun Aug 29 18:23:12 2021	1630228992	0	3130	3131	2580
Sun Aug 29 18:22:10 2021	1630228930	2	3137	3139	772
Sun Aug 29 18:23:13 2021	1630228993	0	3144	3144	2433
Sun Aug 29 18:23:09 2021	1630228989	0	3144	3144	2587
Sun Aug 29 18:23:40 2021	1630229020	0	3145	3146	1869
Sun Aug 29 18:22:23 2021	1630228943	0	3156	3156	3066
Sun Aug 29 18:22:10 2021	1630228930	2	3154	3157	2824
Sun Aug 29 18:23:29 2021	1630229009	0	3164	3164	3058
Sun Aug 29 18:22:33 2021	1630228953	0	3191	3191	1802
Sun Aug 29 18:23:27 2021	1630229007	0	3192	3192	2540
Sun Aug 29 18:23:31 2021	1630229011	0	3207	3207	3078
Sun Aug 29 18:22:15 2021	1630228935	0	3215	3216	2539
Sun Aug 29 18:22:40 2021	1630228960	0	3221	3221	2655
Sun Aug 29 18:24:02 2021	1630229042	0	3221	3221	2979
Sun Aug 29 18:22:45 2021	1630228965	0	3223	3223	2073
Sun Aug 29 18:23:09 2021	1630228989	0	3223	3223	3144
Sun Aug 29 18:23:40 2021	1630229020	0	3226	3226	2883
Sun Aug 29 18:22:15 2021	1630228935	0	3230	3231	2828
Sun Aug 29 18:23:53 2021	1630229033	0	3231	3232	2512
Sun Aug 29 18:23:19 2021	1630228999	0	3237	3238	2602
Sun Aug 29 18:23:40 2021	1630229020	0	3238	3238	2480
Sun Aug 29 18:23:39 2021	1630229019	0	3246	3246	2854
Sun Aug 29 18:23:21 2021	1630229001	0	3252	3253	3153
Sun Aug 29 18:23:56 2021	1630229036	0	3260	3260	2793
Sun Aug 29 18:22:16 2021	1630228936	0	3260	3260	3171
Sun Aug 29 18:22:15 2021	1630228935	0	3269	3270	2847
Sun Aug 29 18:23:32 2021	1630229012	0	3276	3277	3123
Sun Aug 29 18:23:12 2021	1630228992	0	3277	3277	2522
Sun Aug 29 18:23:51 2021	1630229031	0	3293	3293	2825
Sun Aug 29 18:23:16 2021	1630228996	0	3318	3318	2839
Sun Aug 29 18:23:39 2021	1630229019	0	3333	3333	2865
Sun Aug 29 18:23:39 2021	1630229019	0	3334	3334	2864
Sun Aug 29 18:23:39 2021	1630229019	0	3341	3341	2444
Sun Aug 29 18:22:43 2021	1630228963	0	3343	3343	2754
Sun Aug 29 18:23:51 2021	1630229031	0	3346	3346	2884
Sun Aug 29 18:23:27 2021	1630229007	0	3371	3371	3312
Sun Aug 29 18:23:03 2021	1630228983	0	3376	3376	3232
Sun Aug 29 18:22:16 2021	1630228936	0	3378	3378	3283
Sun Aug 29 18:22:38 2021	1630228958	0	3388	3388	3332
Sun Aug 29 18:22:50 2021	1630228970	0	3393	3393	2695
Sun Aug 29 18:23:53 2021	1630229033	0	3395	3396	3041
Sun Aug 29 18:23:39 2021	1630229019	0	3396	3396	2502
Sun Aug 29 18:23:52 2021	1630229032	0	3418	3418	2720
Sun Aug 29 18:23:42 2021	1630229022	0	3419	3419	2240
Sun Aug 29 18:24:12 2021	1630229052	0	3420	3420	3235
Sun Aug 29 18:23:28 2021	1630229008	0	3423	3423	3381
Sun Aug 29 18:23:52 2021	1630229032	0	3426	3426	3257
Sun Aug 29 18:22:32 2021	1630228952	1	3439	3440	3312
Sun Aug 29 18:24:14 2021	1630229054	0	3441	3441	2904
Sun Aug 29 18:22:10 2021	1630228930	2	3449	3451	3283
Sun Aug 29 18:22:10 2021	1630228930	2	3451	3453	3304
Sun Aug 29 18:22:10 2021	1630228930	2	3453	3456	3325
Sun Aug 29 18:23:54 2021	1630229034	0	3483	3484	2013
Sun Aug 29 18:22:32 2021	1630228952	0	3488	3488	3375
Sun Aug 29 18:22:43 2021	1630228963	0	3493	3493	3007
Sun Aug 29 18:22:21 2021	1630228941	0	3495	3496	2335
Sun Aug 29 18:22:32 2021	1630228952	0	3502	3502	3450
Sun Aug 29 18:22:40 2021	1630228960	0	3502	3503	2165
Sun Aug 29 18:23:32 2021	1630229012	0	3514	3514	3465
Sun Aug 29 18:23:12 2021	1630228992	0	3531	3532	3359
Sun Aug 29 18:23:40 2021	1630229020	0	3541	3541	3344
Sun Aug 29 18:23:45 2021	1630229025	0	3568	3568	3501
Sun Aug 29 18:22:39 2021	1630228959	0	3569	3569	2011
Sun Aug 29 18:22:18 2021	1630228938	0	3578	3578	3533
Sun Aug 29 18:22:40 2021	1630228960	0	3578	3578	2842
Sun Aug 29 18:22:27 2021	1630228947	0	3579	3579	2894
Sun Aug 29 18:23:16 2021	1630228996	0	3592	3592	2866
Sun Aug 29 18:23:05 2021	1630228985	0	3597	3597	3521
Sun Aug 29 18:23:29 2021	1630229009	0	3603	3603	3341
