starttime	seconds	ctime	dtime	ttime	wait
Sun Aug 29 18:18:14 2021	1630228694	0	4124	4124	3839
Sun Aug 29 18:16:48 2021	1630228608	8	4117	4126	3978
Sun Aug 29 18:16:48 2021	1630228608	8	4121	4129	3988
Sun Aug 29 18:17:59 2021	1630228679	0	4137	4137	3880
Sun Aug 29 18:18:04 2021	1630228684	0	4143	4144	4042
Sun Aug 29 18:18:12 2021	1630228692	0	4144	4144	3324
Sun Aug 29 18:18:43 2021	1630228723	0	4151	4152	3559
Sun Aug 29 18:17:59 2021	1630228679	0	4154	4154	2424
Sun Aug 29 18:18:31 2021	1630228711	0	4156	4156	3992
Sun Aug 29 18:16:53 2021	1630228613	0	4156	4156	3366
Sun Aug 29 18:18:31 2021	1630228711	0	4156	4157	3990
Sun Aug 29 18:17:33 2021	1630228653	0	4170	4171	4097
Sun Aug 29 18:18:05 2021	1630228685	0	4186	4186	4108
Sun Aug 29 18:16:48 2021	1630228608	8	4180	4188	3169
Sun Aug 29 18:18:21 2021	1630228701	0	4195	4195	3479
Sun Aug 29 18:18:27 2021	1630228707	0	4197	4197	3129
Sun Aug 29 18:18:25 2021	1630228705	0	4203	4203	3171
Sun Aug 29 18:16:56 2021	1630228616	0	4206	4206	3541
Sun Aug 29 18:16:56 2021	1630228616	0	4208	4208	4139
Sun Aug 29 18:18:42 2021	1630228722	0	4215	4215	3579
Sun Aug 29 18:17:58 2021	1630228678	1	4236	4237	3999
Sun Aug 29 18:17:33 2021	1630228653	0	4238	4238	4147
Sun Aug 29 18:19:05 2021	1630228745	0	4247	4247	3925
Sun Aug 29 18:16:48 2021	1630228608	8	4245	4253	4155
Sun Aug 29 18:18:08 2021	1630228688	0	4259	4260	4173
Sun Aug 29 18:17:32 2021	1630228652	0	4265	4265	3428
Sun Aug 29 18:18:29 2021	1630228709	0	4266	4266	3708
Sun Aug 29 18:18:08 2021	1630228688	0	4267	4267	3497
Sun Aug 29 18:17:34 2021	1630228654	2	4273	4274	4108
Sun Aug 29 18:18:24 2021	1630228704	0	4275	4275	3473
Sun Aug 29 18:18:11 2021	1630228691	0	4283	4284	4024
Sun Aug 29 18:16:48 2021	1630228608	6	4285	4292	3500
Sun Aug 29 18:18:52 2021	1630228732	0	4294	4294	3417
Sun Aug 29 18:18:12 2021	1630228692	0	4297	4297	4213
Sun Aug 29 18:18:29 2021	1630228709	0	4300	4300	4116
Sun Aug 29 18:19:07 2021	1630228747	0	4301	4301	4248
Sun Aug 29 18:18:10 2021	1630228690	0	4304	4304	3538
Sun Aug 29 18:18:26 2021	1630228706	0	4304	4305	1962
Sun Aug 29 18:18:01 2021	1630228681	0	4309	4309	3702
Sun Aug 29 18:18:04 2021	1630228684	0	4310	4310	4268
Sun Aug 29 18:18:41 2021	1630228721	0	4315	4315	4265
Sun Aug 29 18:18:28 2021	1630228708	0	4316	4316	3598
Sun Aug 29 18:18:55 2021	1630228735	0	4336	4336	3365
Sun Aug 29 18:18:15 2021	1630228695	0	4337	4337	4079
Sun Aug 29 18:17:42 2021	1630228662	0	4339	4339	3523
Sun Aug 29 18:18:53 2021	1630228733	0	4339	4339	4206
Sun Aug 29 18:17:02 2021	1630228622	0	4355	4355	4305
Sun Aug 29 18:18:22 2021	1630228702	0	4362	4363	4008
Sun Aug 29 18:18:14 2021	1630228694	0	4367	4368	4085
Sun Aug 29 18:18:40 2021	1630228720	0	4369	4369	3337
Sun Aug 29 18:17:10 2021	1630228630	0	4389	4389	3577
Sun Aug 29 18:18:29 2021	1630228709	1	4389	4390	3963
Sun Aug 29 18:18:28 2021	1630228708	0	4396	4396	3651
Sun Aug 29 18:18:30 2021	1630228710	0	4399	4399	3762
Sun Aug 29 18:18:52 2021	1630228732	0	4406	4406	4328
Sun Aug 29 18:17:31 2021	1630228651	0	4412	4413	3919
Sun Aug 29 18:17:54 2021	1630228674	0	4414	4414	4355
Sun Aug 29 18:18:40 2021	1630228720	0	4414	4414	3835
Sun Aug 29 18:17:31 2021	1630228651	0	4415	4415	3268
